"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses"
"1575","<p><strong>Manybabies3 Syllables. </strong></p><p>Press any key to begin.</p>","32","html-keyboard-response","0","1576","0.0-0.0",""
"5242","","","survey-text","1","6824","0.0-1.0","{""Q0"":""mosh12""}"
"3846","","","survey-text","2","10673","0.0-2.0","{""Q0"":""eng"",""Q1"":""hin""}"
"1084","<p><strong>Help rate the audio stimuli!</strong></p><p>For each syllable please indicate the following:</p><p>1. The perceived identity of the syllable, i.e., which syllable you think you heard,</p>2. How prototypical is the syllable of the pereived identity on a sclae from 1 to 7<p></p></p><p>Press any key to begin.</p>","32","html-keyboard-response","3","11759","0.0-3.0",""
"null","<div style=""font-size:14px;"">next syllable</div>","null","html-keyboard-response","4","12263","0.0-4.0-0.0",""
"null","snd/fa.wav","null","audio-keyboard-response","5","13038","0.0-4.0-1.0",""
"null","snd/fa.wav","null","audio-keyboard-response","6","13804","0.0-4.0-2.0",""
"2520","","","survey-text","7","16830","0.0-4.0-3.0","{""Q0"":""ba""}"
"2218","snd/fa.wav","54","audio-keyboard-response","8","19048","0.0-4.0-4.0",""
"null","<div style=""font-size:14px;"">next syllable</div>","null","html-keyboard-response","9","20057","0.0-4.0-0.1",""
"null","snd/fe.wav","null","audio-keyboard-response","10","20828","0.0-4.0-1.1",""
"null","snd/fe.wav","null","audio-keyboard-response","11","21594","0.0-4.0-2.1",""
"2367","","","survey-text","12","24469","0.0-4.0-3.1","{""Q0"":""fe""}"
"2183","snd/fe.wav","53","audio-keyboard-response","13","26656","0.0-4.0-4.1",""
"null","<div style=""font-size:14px;"">next syllable</div>","null","html-keyboard-response","14","27666","0.0-4.0-0.2",""
"null","snd/fu.wav","null","audio-keyboard-response","15","28432","0.0-4.0-1.2",""
"null","snd/fu.wav","null","audio-keyboard-response","16","29199","0.0-4.0-2.2",""
"3031","","","survey-text","17","32738","0.0-4.0-3.2","{""Q0"":""fu""}"
"1892","snd/fu.wav","52","audio-keyboard-response","18","34628","0.0-4.0-4.2",""
